x_mm,y_mm,z_mm,sensor_id
-66.3533,-90.0348,39.5500,sensor_1
-68.4799,-85.1770,40.8846,sensor_1
-70.3222,-80.8989,40.1685,sensor_1
-73.2210,-76.7404,40.3645,sensor_1
-75.5557,-71.9027,39.8056,sensor_1
-78.1736,-68.1284,39.5671,sensor_1
-80.3012,-62.9229,40.0799,sensor_1
-84.2842,-54.0038,40.5907,sensor_1
-86.8073,-49.4891,40.2846,sensor_1
-88.8995,-45.3443,39.6510,sensor_1
-91.4457,-41.0819,40.3634,sensor_1
-93.5708,-36.6335,40.4893,sensor_1
-95.2164,-31.8655,40.5939,sensor_1
-98.1220,-27.7862,40.2614,sensor_1
-100.3558,-23.4014,40.7283,sensor_1
-102.5908,-19.1070,40.3206,sensor_1
-104.1478,-14.2855,40.5810,sensor_1
-107.2135,-10.0307,39.9086,sensor_1
-109.3804,-4.7610,39.7456,sensor_1
-111.0271,-1.3017,40.0682,sensor_1
-61.4536,-87.5588,40.2487,sensor_1
-64.5933,-83.1976,39.7922,sensor_1
-65.3869,-78.9441,40.2161,sensor_1
-68.9573,-74.5819,39.6981,sensor_1
-70.4824,-70.0510,40.3469,sensor_1
-75.6054,-61.2246,40.6009,sensor_1
-77.9759,-57.2247,40.2922,sensor_1
-80.3052,-52.2930,40.4691,sensor_1
-82.4622,-47.3767,39.9116,sensor_1
-83.9239,-42.7653,39.9850,sensor_1
-86.7902,-39.0652,40.2200,sensor_1
-88.5833,-34.8254,40.4711,sensor_1
-91.7189,-30.1649,39.5243,sensor_1
-92.7887,-25.3884,40.2357,sensor_1
-96.0320,-20.5805,39.4139,sensor_1
-98.0560,-15.7265,40.0163,sensor_1
-100.3293,-11.8086,39.8660,sensor_1
-102.5972,-7.2525,40.2180,sensor_1
-104.7453,-3.2561,40.2605,sensor_1
-107.1256,1.8305,40.4035,sensor_1
-57.3764,-86.3659,40.4005,sensor_1
-61.5666,-76.9203,39.4506,sensor_1
-64.5006,-71.8202,39.7773,sensor_1
-66.5317,-67.6122,40.5785,sensor_1
-68.6472,-63.2694,39.9579,sensor_1
-70.3400,-58.4062,40.1167,sensor_1
-73.6695,-54.6008,40.3528,sensor_1
-75.7032,-49.5569,40.2765,sensor_1
-77.6182,-45.1855,40.3245,sensor_1
-80.2899,-41.0732,40.9689,sensor_1
-82.6833,-36.6702,40.5230,sensor_1
-84.5862,-32.3333,39.6869,sensor_1
-86.6128,-27.2371,40.6400,sensor_1
-89.0516,-22.7733,39.7885,sensor_1
-91.2815,-18.9211,40.2108,sensor_1
-93.3476,-13.8545,39.8035,sensor_1
-95.4366,-9.9400,39.7910,sensor_1
-98.2099,-5.8308,40.1516,sensor_1
-100.3188,-0.9340,40.3377,sensor_1
-102.8003,3.5926,39.6458,sensor_1
-52.8211,-83.5374,39.9926,sensor_1
-55.1388,-78.7176,39.5737,sensor_1
-57.9231,-74.4351,40.3160,sensor_1
-59.5198,-69.5619,40.6054,sensor_1
-61.7421,-65.4263,39.7890,sensor_1
-64.5169,-61.1279,40.2436,sensor_1
-66.3785,-56.5078,40.0965,sensor_1
-68.5050,-51.9814,40.2542,sensor_1
-70.8877,-47.7905,39.7892,sensor_1
-73.0937,-42.9984,40.0730,sensor_1
-75.6811,-37.8917,39.8843,sensor_1
-77.8816,-34.1412,39.7460,sensor_1
-80.0344,-29.1499,40.4769,sensor_1
-82.1241,-25.1167,40.1892,sensor_1
-84.2799,-20.9236,40.0020,sensor_1
-86.8496,-16.0970,40.2656,sensor_1
-88.9192,-12.6674,40.5676,sensor_1
-90.6060,-7.0367,40.0388,sensor_1
-93.9921,-2.9518,39.8046,sensor_1
-95.7111,1.2222,40.4862,sensor_1
-97.7583,5.1498,40.2525,sensor_1
-48.6254,-81.4630,39.9339,sensor_1
-50.7276,-76.1527,39.6175,sensor_1
-52.5531,-71.3532,40.3591,sensor_1
-54.9998,-67.6092,39.7387,sensor_1
-57.2736,-63.0150,40.4061,sensor_1
-58.8317,-58.4397,40.2990,sensor_1
-61.4540,-54.7102,39.7501,sensor_1
-64.4020,-50.0136,40.3929,sensor_1
-66.6517,-44.7203,40.6822,sensor_1
-68.5410,-41.0094,40.3659,sensor_1
-70.7967,-36.7925,40.2721,sensor_1
-73.1033,-31.8884,40.6999,sensor_1
-75.1955,-27.7981,40.1936,sensor_1
-78.1828,-22.8513,39.8465,sensor_1
-79.8372,-18.4633,40.4898,sensor_1
-82.4811,-14.6538,40.7680,sensor_1
-84.7606,-9.2072,40.3006,sensor_1
-86.7343,-4.5936,40.2691,sensor_1
-88.7501,-1.2985,40.4549,sensor_1
-91.5948,3.6291,40.1531,sensor_1
-93.6588,8.7111,39.5012,sensor_1
-43.9106,-78.9504,40.5580,sensor_1
-46.3440,-74.0847,40.0109,sensor_1
-48.2320,-69.4344,40.0109,sensor_1
-50.7186,-65.8316,40.2569,sensor_1
-52.7061,-61.0739,40.5421,sensor_1
-56.0014,-57.0724,39.6641,sensor_1
-57.7154,-51.9629,40.1224,sensor_1
-59.8391,-47.2611,39.9848,sensor_1
-62.5278,-43.4947,40.8894,sensor_1
-65.1788,-38.6660,40.6603,sensor_1
-66.4563,-34.4396,40.1508,sensor_1
-68.5931,-29.2714,39.8352,sensor_1
-70.8992,-25.1508,40.5365,sensor_1
-72.9487,-20.9043,39.6426,sensor_1
-75.5668,-15.7073,40.3900,sensor_1
-77.8947,-11.0338,39.7860,sensor_1
-79.9292,-7.6187,40.1674,sensor_1
-82.4838,-2.4339,39.8224,sensor_1
-84.9724,0.9334,40.3205,sensor_1
-87.2154,6.0937,39.7744,sensor_1
-89.4508,10.7647,40.0890,sensor_1
-39.2520,-76.2447,40.0264,sensor_1
-42.2868,-71.6297,40.2097,sensor_1
-43.6667,-68.2240,39.5709,sensor_1
-47.0307,-63.3715,40.5147,sensor_1
-48.3526,-58.6215,40.1959,sensor_1
-50.5544,-54.2603,40.2886,sensor_1
-53.0417,-50.4649,40.0153,sensor_1
-54.8850,-45.3830,40.0999,sensor_1
-60.1129,-36.5040,40.5434,sensor_1
-62.2643,-32.2370,39.0610,sensor_1
-64.6409,-28.1127,39.5117,sensor_1
-66.4320,-22.7212,39.4790,sensor_1
-68.6823,-18.3535,39.8758,sensor_1
-70.9932,-14.6285,39.7284,sensor_1
-76.2941,-5.5382,40.4575,sensor_1
-78.5269,-1.0971,39.8169,sensor_1
-80.2617,3.6420,40.4518,sensor_1
-82.8490,7.7647,39.9735,sensor_1
-84.8578,12.3441,40.2459,sensor_1
-34.3819,-74.3656,40.1627,sensor_1
-39.0856,-65.4799,39.8497,sensor_1
-42.2127,-60.6598,40.3253,sensor_1
-46.4228,-51.8752,40.5900,sensor_1
-48.3382,-47.9266,40.1397,sensor_1
-50.8761,-42.7302,40.0637,sensor_1
-53.4098,-38.6885,39.5187,sensor_1
-55.4637,-34.2828,40.3034,sensor_1
-58.0848,-29.7724,39.7968,sensor_1
-60.3695,-24.9208,39.9756,sensor_1
-62.1118,-21.1032,40.1715,sensor_1
-65.1291,-16.4247,39.9608,sensor_1
-68.8748,-7.2850,40.0747,sensor_1
-71.0563,-2.8267,40.3236,sensor_1
-73.3517,1.5377,40.0323,sensor_1
-75.7758,5.8698,40.2702,sensor_1
-77.7730,10.7691,40.0010,sensor_1
-80.8799,14.9056,40.0902,sensor_1
-30.1903,-72.0396,40.0608,sensor_1
-32.5900,-67.6178,40.0781,sensor_1
-34.5182,-62.4755,40.3536,sensor_1
-39.5633,-54.4246,40.3286,sensor_1
-41.9068,-49.5540,39.9524,sensor_1
-44.2013,-45.2404,40.2437,sensor_1
-45.9683,-40.5948,39.5543,sensor_1
-49.0760,-36.8194,39.8563,sensor_1
-50.8118,-31.6711,39.9241,sensor_1
-53.1840,-27.6205,39.6371,sensor_1
-56.0383,-23.2012,40.6294,sensor_1
-58.2855,-18.0120,40.5968,sensor_1
-60.1509,-14.0086,39.9186,sensor_1
-62.3661,-9.3068,40.1357,sensor_1
-64.2795,-4.6675,40.2523,sensor_1
-66.7836,-0.6485,40.2531,sensor_1
-69.5572,3.9695,40.2037,sensor_1
-71.7392,9.0344,39.7924,sensor_1
-74.0116,12.8349,39.4551,sensor_1
-76.2547,16.6600,39.7940,sensor_1
-26.1706,-69.5267,40.5170,sensor_1
-28.1128,-64.7696,40.3369,sensor_1
